date,indicator_name,classification1,classification2,close
2025-01-01,消費税を除く国内企業物価指数,品目,気泡コンクリート製品,114.1
2025-01-01,消費税を除く国内企業物価指数,品目,水中ポンプ,135.6
2025-01-01,消費税を除く国内企業物価指数,品目,水晶振動子,112.1
2025-01-01,消費税を除く国内企業物価指数,品目,水産びん・かん詰,128.9
2025-01-01,消費税を除く国内企業物価指数,品目,水産物漬物,119.9
2025-01-01,消費税を除く国内企業物価指数,品目,氷菓,116.2
2025-01-01,消費税を除く国内企業物価指数,品目,永久磁石,121.2
2025-01-01,消費税を除く国内企業物価指数,品目,油圧シリンダ,126.0
2025-01-01,消費税を除く国内企業物価指数,品目,油圧バルブ,109.3
2025-01-01,消費税を除く国内企業物価指数,品目,油圧モータ,113.6
2025-01-01,消費税を除く国内企業物価指数,品目,洋生菓子,113.7
2025-01-01,消費税を除く国内企業物価指数,品目,洋風めん,124.9
2025-01-01,消費税を除く国内企業物価指数,品目,消火器,126.0
2025-01-01,消費税を除く国内企業物価指数,品目,液化石油ガス,204.9
2025-01-01,消費税を除く国内企業物価指数,品目,液晶パネル,91.2
2025-01-01,消費税を除く国内企業物価指数,品目,混合植物油脂,149.3
2025-01-01,消費税を除く国内企業物価指数,品目,清酒,117.1
2025-01-01,消費税を除く国内企業物価指数,品目,溶接棒,122.8
2025-01-01,消費税を除く国内企業物価指数,品目,漂白剤,133.8
2025-01-01,消費税を除く国内企業物価指数,品目,漬物,108.0
2025-01-01,消費税を除く国内企業物価指数,品目,潤滑油,131.5
2025-01-01,消費税を除く国内企業物価指数,品目,灯油,181.2
2025-01-01,消費税を除く国内企業物価指数,品目,炭素・黒鉛製品,104.3
2025-01-01,消費税を除く国内企業物価指数,品目,炭酸飲料,121.5
2025-01-01,消費税を除く国内企業物価指数,品目,無機顔料,154.8
2025-01-01,消費税を除く国内企業物価指数,品目,無線応用装置,111.1
2025-01-01,消費税を除く国内企業物価指数,品目,焼ちゅう,106.3
2025-01-01,消費税を除く国内企業物価指数,品目,熱延広幅帯鋼,154.7
2025-01-01,消費税を除く国内企業物価指数,品目,熱硬化性樹脂,137.4
2025-01-01,消費税を除く国内企業物価指数,品目,牛肉,105.8
2025-01-01,消費税を除く国内企業物価指数,品目,特別用途車,114.8
2025-01-01,消費税を除く国内企業物価指数,品目,特殊印刷物,112.8
2025-01-01,消費税を除く国内企業物価指数,品目,特殊合板,153.8
2025-01-01,消費税を除く国内企業物価指数,品目,特殊用途鋼,153.7
2025-01-01,消費税を除く国内企業物価指数,品目,特殊鋼切削工具,114.7
2025-01-01,消費税を除く国内企業物価指数,品目,玄米,172.0
2025-01-01,消費税を除く国内企業物価指数,品目,玉軸受,112.6
2025-01-01,消費税を除く国内企業物価指数,品目,理化学機器,111.4
2025-01-01,消費税を除く国内企業物価指数,品目,理容用電気器具,109.5
2025-01-01,消費税を除く国内企業物価指数,品目,生クリーム,116.8
2025-01-01,消費税を除く国内企業物価指数,品目,生コンクリート,141.5
